Query Name	Rank	TF	Score	Library	Overlapping_Genes
"gene_set_query"	"397"	"ZBTB4"	"466.0"	"ARCHS4 Coexpression,380;Enrichr Queries,469;GTEx Coexpression,549"	"DIAPH1,NRP1,NRP2,ZEB2,BMPR2,LRP1,ZMIZ1,NFIB,MYCBP2,PRKCA,MEGF8,ARHGAP35"
"gene_set_query"	"398"	"KLF8"	"466.3"	"ARCHS4 Coexpression,790;Enrichr Queries,463;GTEx Coexpression,146"	"SEMA5A,EPHA4,SZT2,DLX5,CXCR4,ANK3,ROBO1,ZEB2,VANGL2,NCAM1,ATP7A,EPHB3,NECTIN1"
"gene_set_query"	"399"	"SOX6"	"467.0"	"ARCHS4 Coexpression,191;Enrichr Queries,27;ReMap ChIP-seq,102;GTEx Coexpression,1548"	"ROBO2,SEMA5A,SPTBN4,NRP1,TENM2,LRP1,TENM4,DLX5,GLI3,ROBO1,RELN,ZMIZ1,ERBB4,MAP2,NCAM1,SLIT2,EPHB1,EPHA4,NTRK2,EPHA7,FZD3,SEMA6A,PRKCA,ANK3,DCLK1,NELL2,ZEB2,NFIB,LHX6,MET"
"gene_set_query"	"400"	"HOXB1"	"467.3"	"ARCHS4 Coexpression,140;Enrichr Queries,371;GTEx Coexpression,891"	"NTRK2,EPHA7,TENM3,SEMA6A,TENM4,BCL11B,CXCR4,LRP2,GLI3,CELSR3,NELL2,ZEB2,VANGL2,CNTN2,CTNNB1,MYH10,NECTIN1"
"gene_set_query"	"401"	"CEBPD"	"467.4"	"Literature ChIP-seq,13;ARCHS4 Coexpression,1249;ENCODE ChIP-seq,97;ReMap ChIP-seq,147;GTEx Coexpression,831"	"LAMA5,NRP1,EPHA4,TENM2,BMPR2,LRP1,TENM4,SEMA4C,UNC5C,TBR1,ANK3,PSEN1,GLI3,KLF7,ZEB2,ZMIZ1,NFIB,TAOK1,CTNNB1"
"gene_set_query"	"402"	"ZNF274"	"469.0"	"Literature ChIP-seq,69;ARCHS4 Coexpression,1185;ENCODE ChIP-seq,49;Enrichr Queries,1285;ReMap ChIP-seq,165;GTEx Coexpression,61"	"CHRNB2,LINGO1,SPTBN4,SZT2,TRIO,LMO4,CXCR4,CRKL,ENAH,DIAPH1,CDH4,RELN,MAP2,DCX,MEGF8,DSCAML1"
"gene_set_query"	"403"	"BPTF"	"470.5"	"ARCHS4 Coexpression,250;GTEx Coexpression,691"	"ENAH,SEMA6A,PTCH1,TAOK1,MYCBP2,MYH10"
"gene_set_query"	"404"	"HDX"	"472.0"	"ARCHS4 Coexpression,268;Enrichr Queries,490;GTEx Coexpression,658"	"ENAH,ROBO2,EPHA4,EPHA7,ZEB2,FZD3,NFIB,MAP2,DCX,SLIT2,ROBO1"
"gene_set_query"	"405"	"RUNX2"	"472.4"	"Literature ChIP-seq,14;ARCHS4 Coexpression,487;Enrichr Queries,379;ReMap ChIP-seq,15;GTEx Coexpression,1467"	"ROBO2,SEMA5A,NRP1,NRP2,TENM2,TRIO,BMPR2,LRP1,CXCR4,PTPRJ,ARHGAP35,GLI3,ROBO1,EFNB1,CDH4,RELN,ZMIZ1,MAP2,PLXNA1,ZSWIM6,SLIT3,NCAM1,SLIT2,MYH10,EPHB1,NEO1,EPHA5,EPHA4,NTRK2,EPHA6,SEMA6A,DSCAM,DCC,PTCH1,PRKCA,UNC5D,ANK3,HSPG2,DCLK1,NELL2,KLF7,ZEB2,NFASC,NFIB,CTNNB1,MET,DSCAML1,NECTIN1"
"gene_set_query"	"406"	"ZNF709"	"472.7"	"ARCHS4 Coexpression,300;Enrichr Queries,420;GTEx Coexpression,698"	"SEMA5A,ENAH,EPHA4,ZEB2,FZD3,EPHA6,BCL11B,NFIB,MAP2,PTCH1,CXCR4,ANK3"
"gene_set_query"	"407"	"KLF5"	"473.2"	"Literature ChIP-seq,46;ARCHS4 Coexpression,606;Enrichr Queries,1112;ReMap ChIP-seq,195;GTEx Coexpression,407"	"ROBO2,LAMA5,SPTBN4,SZT2,NRP2,TENM2,BMPR2,EPHA6,SEMA6A,MYCBP2,CXCR4,HSPG2,KALRN,ARHGAP35,CELSR3,ZEB2,VANGL2,RELN,NFIB,ZSWIM6,MET,MYH10,EPHB3,NECTIN1"
"gene_set_query"	"408"	"FOXD4L5"	"474.3"	"ARCHS4 Coexpression,883;Enrichr Queries,223;GTEx Coexpression,317"	"ROBO2,EPHA5,LAMA5,NTRK2,SZT2,TENM3,EPHA6,PTCH1,CXCR4,CDH4,NFIB,LHX6,NCAM1,PLXNA4"
"gene_set_query"	"409"	"ELK3"	"475.0"	"Literature ChIP-seq,74;ARCHS4 Coexpression,947;Enrichr Queries,563;GTEx Coexpression,316"	"NRP1,EPHA4,LAMA5,NRP2,BMPR2,SEMA4C,CXCR4,PTPRJ,HSPG2,CELSR3,NELL2,KLF7,ZEB2,TAOK1,PLXNA1,SLIT3,SLIT2,NECTIN1"
"gene_set_query"	"410"	"IKZF1"	"475.2"	"Literature ChIP-seq,121;ARCHS4 Coexpression,545;ENCODE ChIP-seq,54;Enrichr Queries,1165;ReMap ChIP-seq,131;GTEx Coexpression,835"	"LRP1,MYCBP2,CXCR4,PTPRJ,UNC5C,PSEN1,L1CAM,HSPG2,ARHGAP35,ZEB2,ZMIZ1,RAC1,EPHB1,NECTIN1"
"gene_set_query"	"411"	"FOSL2"	"475.2"	"ARCHS4 Coexpression,615;ENCODE ChIP-seq,67;Enrichr Queries,839;ReMap ChIP-seq,63;GTEx Coexpression,792"	"LAMA5,NRP1,NRP2,LRP1,CXCR4,PTPRJ,HSPG2,GLI3,NELL2,KLF7,ZMIZ1,ZSWIM6,MEGF8"
"gene_set_query"	"412"	"HIF3A"	"475.3"	"ARCHS4 Coexpression,991;Enrichr Queries,324;GTEx Coexpression,111"	"LAMA5,NTRK2,NRP2,EPHA7,SEMA6A,PTCH1,SEMA4C,CXCR4,HSPG2,GLI3,NELL2,NFIB,SLIT1,NCAM1,PLXNA4"
"gene_set_query"	"413"	"TCF7"	"475.4"	"Literature ChIP-seq,66;ARCHS4 Coexpression,408;Enrichr Queries,863;ReMap ChIP-seq,223;GTEx Coexpression,817"	"CYFIP2,RTN4R,TRIO,SEMA6A,BCL11B,PTCH1,CXCR4,ZEB2,VANGL2,ZMIZ1,NFIB,CTNNB1,ZSWIM6,EPHB2,NEO1,MDGA1"
"gene_set_query"	"414"	"PAX5"	"475.8"	"ARCHS4 Coexpression,652;ENCODE ChIP-seq,25;Enrichr Queries,290;ReMap ChIP-seq,280;GTEx Coexpression,1132"	"CYFIP2,NRP2,TRIO,BCL11B,CXCR4,PRKCA,ROBO1,NELL2,DIAPH1,ZEB2,RELN,ERBB4,NFIB,TAOK1,NCAM1"
"gene_set_query"	"415"	"ZNF587B"	"476.5"	"ARCHS4 Coexpression,709;GTEx Coexpression,244"	"ENAH,NFASC,NCAM1,MEGF8,SPG11"
"gene_set_query"	"416"	"ZNF648"	"476.7"	"ARCHS4 Coexpression,407;Enrichr Queries,94;GTEx Coexpression,929"	"EPHA4,NTRK2,TENM2,EPHA7,SEMA6A,TENM4,ANK3,ROBO1,ENAH,NELL2,CDH4,ZEB2,NFASC,ZMIZ1,NFIB,SLIT2,DSCAML1,EPHB3"
"gene_set_query"	"417"	"KLF4"	"478.4"	"Literature ChIP-seq,40;ARCHS4 Coexpression,1077;Enrichr Queries,958;ReMap ChIP-seq,67;GTEx Coexpression,250"	"ROBO2,LAMA5,NRP1,NRP2,LRP1,TENM4,DLX5,LMO4,CXCR4,PTPRJ,UNC5D,HSPG2,ARHGAP35,ZEB2,VANGL2,RELN,ZMIZ1,NFIB,LHX6,ZSWIM6,SLIT2,ATP7A,EPHB3,NECTIN1"
